tweetid;user;content;date;lang;polarity
770976639173951488;noseashetero;@noseashetero 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨;31/08/2016 13:28;es;P
771092421866389508;Templelx;@piscolabisaereo @HistoriaNG @SPosteguillo las tengo pero aún no las he leído. Caerán prontito ;31/08/2016 21:08;es;P
771092111429083136;esskuu94;Al final han sido 3h  Bueno, mañana tengo fiesta así que.. No me quejo ;31/08/2016 21:07;es;P
771092070572449796;__ariadna9;@Jorge_Ruiz14 yo no tengo tiempo para esas cosas ahora mismo ;31/08/2016 21:07;es;N
771094192508600320;_cristtina15_;@_MissChaotic_ ves ese brillo? es un coso que hace que se sepan a kk ;31/08/2016 21:15;es;N
771116956518875137;JSorgex;Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir? ;31/08/2016 22:46;es;P
771115324884262912;Escarolilla;@juankipua Es que en el Ojeando el año pasado tampoco, tiene muchas canciones ya jajajajaja ;31/08/2016 22:39;es;NEU
771118683414560768;KaichiZick95;Bueno, estoy en la batalla final del Conquista y ya después me faltaría Revelación ;31/08/2016 22:53;es;NONE
770550748107202560;carlosnmr;@CondeDuqueMAD ¿mañana sábado 31? En que día vives?  Mañana es miércoles 31.;30/08/2016 9:16;es;NONE
770549862500802560;hermesni;@agcasti y el caminante ante el mar de niebla, uno de mis cuadros favoritos en portada ;30/08/2016 9:12;es;P
770549380294336512;lameri86;@vitojph ¡sí! Y me ha encantado  ¿Tú ya las visto? ¿Cuándo comentamos?;30/08/2016 9:11;es;P
770558771219271680;aladroqe;@aladroqe Se me olvidaban los grandes @2qblog y @estapillao ! A ver si os interesa es hilillo ;30/08/2016 9:48;es;NONE
770558626788507648;the_heruman;@pendragoncillo Mejor si pones un link a la cuenta, me ha costado encontrarte.. ;30/08/2016 9:47;es;N
770555355491426305;CharlieSkelter;@Majoras_Mark Por?  Tenía pensado verla después de la segunda de Daredevil ;30/08/2016 9:34;es;NONE
770554917685719040;Jess_BipOlateD;"@SoofRawr + ni el de al lado, la ""manita"" que usas para que se vea como más negro ";30/08/2016 9:33;es;NONE
770527686116700160;Mrjunjo;Llevo despierto desde las 8 porque un puto mosquito estaba volando en mi puta oreja y ;30/08/2016 7:44;es;N
770521682842877953;ElisaZamora;@ArchivoSGAE Qué estupendo. Y... ¿cómo os lo encargo?  ¿Es la estupendísima versión de Barce..? ;30/08/2016 7:20;es;P
770470969085464578;PatriCarvajal03;Cosas que enamora las tostadas calentitas a estas horas de la mañana ;30/08/2016 3:59;es;P
770544710440083456;XxSedixX;Hola buenos días, me he dormido a las 5 y algo y me acabo de despertar y se me ha ido el sueño ;30/08/2016 8:52;es;P
770560227531948032;krenecito;@omixam no creo que hayan diseñado una tipo propia ;30/08/2016 9:54;es;N
769977284514156545;itsgeorhero;@perriestheory sabes que en 2012 o 13 tenía una novela de mierda en la que perrie era mala ;28/08/2016 19:17;es;N
769979388825927680;botilux;@CarlosSadness en ninguna porque no te he visto en directo  concierto en madrid pronto pls;28/08/2016 19:26;es;NEU
770057070611722240;nalvarys;@uravity_ lo se pero tengo la esperanza de que en realidad sea un personaje mucho mas oscuro ;29/08/2016 0:34;es;N
770056603924037633;dos__is;Pa una vez que me pongo a ver películas con un amigo y se queda dormido ;29/08/2016 0:32;es;N
770059333489025024;kayatojpg;"@Hanita_chan nfin, no puede ser peor que un minikayato 
Clauyato is real";29/08/2016 0:43;es;N
770053036483940353;KharanosGame;@KharanosGame Que Kinox no me quiere   zi yo zoy buena perzona;29/08/2016 0:18;es;N
770032814729355264;FerZCarbonell;Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados ;28/08/2016 22:58;es;NEU
770221197309120512;Maarta_24;Podríamos empezar septiembre desde el día tres, no sé, estaría guay ;29/08/2016 11:26;es;P
